sub	sess	t	loc	cue	co1	co2	or	resp	rt
1	1	189	2	3	0.1000	0.1000	1	1	1.598
1	1	190	2	1	0.1000	0.1000	0	1	0.723
1	1	191	2	1	0.1000	0.1000	0	1	0.565
1	1	192	2	1	0.1000	0.1000	1	1	0.610
1	1	193	1	2	0.1000	0.1000	0	1	0.508
1	1	194	2	1	0.1000	0.1000	0	1	0.572
1	1	195	2	1	0.1000	0.1000	0	0	0.743
1	1	196	1	2	0.1000	0.1000	0	0	0.696
1	1	197	1	2	0.1000	0.1000	0	0	0.928
1	1	198	2	1	0.1000	0.1000	1	1	0.522
1	1	199	2	3	0.1000	0.1000	0	1	0.670
1	1	200	1	3	0.1000	0.1000	1	1	0.718
1	1	201	1	3	0.1000	0.1000	0	1	0.775
1	1	202	2	1	0.1000	0.1000	0	1	0.702
1	1	203	2	2	0.1000	0.1000	1	1	0.506
1	1	204	1	1	0.1000	0.1000	1	1	0.542
1	1	205	2	1	0.1000	0.1000	1	1	0.580
1	1	206	1	3	0.1000	0.1000	1	0	1.795
1	1	207	2	1	0.1000	0.1000	1	1	0.574
1	1	208	1	3	0.1000	0.1000	1	1	0.847
1	1	209	2	2	0.1000	0.1000	1	1	0.596
1	1	210	1	2	0.1000	0.1000	1	0	0.733
1	1	211	1	2	0.1000	0.1000	1	1	0.516
1	1	212	1	3	0.1000	0.1000	0	1	0.656
1	1	213	2	3	0.1000	0.1000	0	0	0.554
1	1	214	1	3	0.1000	0.1000	1	1	1.122
1	1	215	1	1	0.1000	0.1000	1	1	0.672
1	1	216	2	1	0.1000	0.1000	1	1	0.582
1	1	217	1	3	0.1000	0.1000	0	1	0.831
1	1	218	2	3	0.1000	0.1000	1	1	0.632
1	1	219	1	2	0.1000	0.1000	1	1	0.610
1	1	220	2	2	0.1000	0.1000	0	1	0.623
1	1	221	1	3	0.1000	0.1000	1	1	0.661
1	1	222	2	1	0.1000	0.1000	1	1	0.554
1	1	223	2	1	0.1000	0.1000	0	0	0.541
1	1	224	2	2	0.1000	0.1000	0	0	0.638
1	1	225	1	3	0.1000	0.1000	0	1	0.967
1	1	226	2	1	0.1000	0.1000	1	1	0.516
1	1	227	1	2	0.1000	0.1000	1	0	0.694
1	1	228	2	2	0.1000	0.1000	0	1	0.729
1	1	229	1	3	0.1000	0.1000	1	1	0.767
1	1	230	2	1	0.1000	0.1000	0	1	0.646
1	1	231	1	3	0.1000	0.1000	1	1	0.669
1	1	232	2	2	0.1000	0.1000	0	1	0.611
1	1	233	1	1	0.1000	0.1000	1	0	1.347
1	1	234	1	2	0.1000	0.1000	0	1	0.611
1	1	235	1	2	0.1000	0.1000	1	1	0.650
1	1	236	2	2	0.1000	0.1000	1	1	0.800
1	1	237	1	3	0.1000	0.1000	1	1	0.611
1	1	238	1	3	0.1000	0.1000	0	1	0.437
1	1	239	2	2	0.1000	0.1000	1	1	0.521
1	1	240	2	1	0.1000	0.1000	1	1	0.886
1	1	241	2	1	0.1000	0.1000	0	1	0.792
1	1	242	2	3	0.1000	0.1000	1	1	0.528
1	1	243	2	1	0.1000	0.1000	0	1	1.183
1	1	244	2	1	0.1000	0.1000	0	1	0.590
1	1	245	2	1	0.1000	0.1000	0	1	0.513
1	1	246	2	2	0.1000	0.1000	0	1	0.551
1	1	247	2	2	0.1000	0.1000	0	1	0.565
1	1	248	1	2	0.1000	0.1000	0	1	0.543
1	1	249	1	3	0.1000	0.1000	0	1	0.506
1	1	250	2	1	0.1000	0.1000	1	1	0.598
1	1	251	2	3	0.1000	0.1000	0	1	0.693
1	1	252	1	2	0.1000	0.1000	1	0	0.577
1	1	253	1	1	0.1000	0.1000	0	1	0.529
1	1	254	2	1	0.1000	0.1000	0	1	0.602
1	1	255	1	3	0.1000	0.1000	0	1	1.334
1	1	256	1	3	0.1000	0.1000	0	1	0.497
1	1	257	2	1	0.1000	0.1000	0	1	0.531
1	1	258	2	2	0.1000	0.1000	1	1	0.537
1	1	259	2	3	0.1000	0.1000	0	1	0.558
1	1	260	1	3	0.1000	0.1000	0	1	0.514
1	1	261	2	3	0.1000	0.1000	1	1	0.616
1	1	262	1	2	0.1000	0.1000	0	1	0.758
1	1	263	1	1	0.1000	0.1000	1	1	0.635
1	1	264	2	2	0.1000	0.1000	1	1	0.710
1	1	265	2	1	0.1000	0.1000	1	1	0.590
1	1	266	1	3	0.1000	0.1000	1	0	0.623
1	1	267	1	2	0.1000	0.1000	1	1	0.810
1	1	268	2	1	0.1000	0.1000	1	1	0.606
1	1	269	1	3	0.1000	0.1000	0	1	0.794
